,聲韻,,聲調,字元,字數,,,,,,
421,ʨiŋ,,陰去35,"禁, 錦, 浸, 儘, 進, 晉, 緊, 謹, 勁, 俊, 濬, 境, 景, 警, 敬, 竟, 鏡, 井, 頸, 徑, 靳, 憬, 峻, 駿, 竣, 阱, 剄, 儆, 堇, 槿",30,,,,,,
423,ʨioŋ,,陰去35,"窘, 迥",2,,,,,,
429,ʨʰi,,陰去35,"且, 去, 砌, 啓, 契, 企, 器, 棄, 起, 杞, 氣, 汽, 欠, 歉, 淺, 遣, 芡, 譴, 倩, 塹, 茜, 繾, 跂, 覷, 緙, 㹂",26,,,,,,
431,ʨʰy,,陰去35,"去, 取, 娶, 趣, 齲, 覷",6,,,,,,
432,ʨʰia,,陰去35,笡,1,,,,,,
434,ʨʰiɔ,,陰去35,"巧, 俏, 竅, 翹, 峭",5,,,,,,
437,ʨʰyø,,陰去35,"勸, 券, 犬",3,,,,,,
439,ʨʰiã,,陰去35,"搶, 嗆, 戧, 繈, 蹌, 鏹",6,,,,,,
441,ʨʰiŋ,,陰去35,"寢, 撳, 慶, 請, 磬, 頃, 沁, 罄",8,,,,,,
463,ȵiɔ,,陰去35,鳥,1,,,,,,
470,ȵiã,,陰去35,仰,1,,,,,,
479,ɕyŋ,,陰去35,"荀, 迅, 殉, 訓, 馴, 詢",6,,,,,,
481,ɕi,,陰去35,"洗, 細, 壻, 繫, 系, 係, 璽, 徙, 戲, 死, 喜, 蟢, 險, 莧, 癬, 線, 憲, 獻, 顯, 選, 鏾, 禧, 銑, 蜆, 跣, 蘚, 筅",27,,,,,,
483,ɕy,,陰去35,"許, 壻, 栩, 酗, 煦, 詡",6,,,,,,
484,ɕia,,陰去35,"廈, 瑕, 遐, 下, 夏, 暇, 寫, 瀉, 卸, 㕐",10,,,,,,
486,ɕiɔ,,陰去35,"酵, 淆, 孝, 小, 笑, 曉, 哮, 筱",8,,,,,,
488,ɕiɤ,,陰去35,"秀, 繡, 宿, 銹, 朽, 嗅, 琇, 溴",8,,,,,,
491,ɕiã,,陰去35,"相, 想, 鮝, 享, 響, 餉, 向, 饗",8,,,,,,
493,ɕiŋ,,陰去35,"信, 訊, 釁, 欣, 迅, 興, 省, 性, 姓, 醒, 囟, 汛, 臖",13,,,,,,
495,ɕioŋ,,陰去35,"荀, 殉, 訓, 馴, 詢",5,,,,,,
511,ku,,陰去35,"個, 過, 果, 裹, 餜, 賈, 蝸, 古, 估, 牯, 股, 鼓, 故, 固, 錮, 雇, 顧, 蠱, 詁, 臌, 瞽",21,,,,,,
513,ka,,陰去35,"假, 架, 駕, 嫁, 價, 介, 界, 尬, 疥, 屆, 戒, 解, 枷, 庎",14,,,,,,
515,kua,,陰去35,"寡, 剮, 怪, 拐, 掛, 卦",6,,,,,,
517,ko,,陰去35,"寡, 剮, 掛, 卦",4,,,,,,
519,kɔ,,陰去35,"稿, 告, 教, 絞, 鉸, 攪, 酵, 窖, 覺, 鎬, 誥, 槁, 杲, 縞",14,,,,,,
521,kɤ,,陰去35,"狗, 苟, 彀, 够, 構, 購, 垢, 枸, 媾",9,,,,,,
524,kue,,陰去35,"會, 劊, 檜, 鱖, 閨, 桂, 詭, 軌, 鬼, 貴, 貫, 鰥, 慣, 燴",14,,,,,,
526,kø,,陰去35,"感, 敢, 桿, 稈, 擀, 趕, 幹, 贛, 淦, 紺",10,,,,,,
528,kuø,,陰去35,"觀, 冠, 管, 館, 灌, 罐, 盥, 鸛",8,,,,,,
530,kã,,陰去35,"哽, 埂, 梗, 鯁, 亙",5,,,,,,
533,kɑ̃,,陰去35,"崗, 杠, 講, 港, 降, 虹",6,,,,,,
535,kuɑ̃,,陰去35,"廣, 逛, 鄺",3,,,,,,
537,kəŋ,,陰去35,"更, 耿, 艮",3,,,,,,
538,kuəŋ,,陰去35,"滾, 棍, 磙, 袞, 鯀",5,,,,,,
540,koŋ,,陰去35,"貢, 汞, 供, 拱, 鞏",5,,,,,,
547,kʰu,,陰去35,"可, 顆, 課, 苦, 褲, 坷",6,,,,,,
549,kʰa,,陰去35,"楷, 卡",2,,,,,,
551,kʰua,,陰去35,"垮, 跨, 蒯, 快, 筷",5,,,,,,
553,kʰo,,陰去35,"垮, 跨",2,,,,,,
555,kʰɔ,,陰去35,"考, 烤, 靠, 犒, 拷, 銬",6,,,,,,
557,kʰɤ,,陰去35,"口, 叩, 扣, 寇, 蔻, 釦",6,,,,,,
559,kʰe,,陰去35,"改, 凱, 概, 漑, 慨, 蓋, 丐, 坎, 砍, 勘, 橄, 減, 鹻, 嵌, 鑑, 刊, 襇, 揀, 澗, 檻, 鈣, 愾, 侃, 愷, 鎧, 鍇",26,,,,,,
561,kʰue,,陰去35,"傀, 塊, 會, 劊, 款, 噲, 窾",7,,,,,,
563,kʰø,,陰去35,看,1,,,,,,
565,kʰuø,,陰去35,"款, 窾",2,,,,,,
568,kʰɑ̃,,陰去35,"慷, 抗, 囥, 亢, 伉, 吭",6,,,,,,
570,kʰuɑ̃,,陰去35,"曠, 况, 礦",3,,,,,,
572,kʰəŋ,,陰去35,"懇, 墾, 齦, 肯",4,,,,,,
574,kʰuəŋ,,陰去35,"綑, 困, 睏",3,,,,,,
576,kʰoŋ,,陰去35,"空, 孔, 控, 恐",4,,,,,,
606,hu,,陰去35,"荷, 火, 夥, 貨, 虎, 滸, 戽, 琥",8,,,,,,
608,ha,,陰去35,蟹,1,,,,,,
610,hua,,陰去35,化,1,,,,,,
612,ho,,陰去35,化,1,,,,,,
614,hɔ,,陰去35,"好, 耗, 孝",3,,,,,,
616,hɤ,,陰去35,"吼, 鱟",2,,,,,,
618,he,,陰去35,"海, 喊",2,,,,,,
620,hue,,陰去35,"賄, 悔, 晦, 穢, 毀, 揮, 諱, 燴, 卉, 誨, 喙",11,,,,,,
622,hø,,陰去35,"憾, 罕, 漢, 熯, 㗿",5,,,,,,
624,huø,,陰去35,"喚, 煥, 渙, 瘓",4,,,,,,
627,huɑ̃,,陰去35,"謊, 晃, 况, 恍, 幌",5,,,,,,
629,həŋ,,陰去35,"很, 擤, 狠",3,,,,,,
632,hoŋ,,陰去35,"哄, 蕻, 訌",3,,,,,,
639,ɦi,,陰去35,"繫, 奚, 系, 係, 攜, 畦, 移, 肆, 伊, 夷, 姨, 飴, 矣, 異, 沂, 遺, 陷, 餡, 炎, 鹽, 閻, 簷, 豔, 焰, 嫌, 閒, 顔, 涎, 延, 筵, 諺, 言, 賢, 弦, 現, 沿, 眩, 冶, 舷, 怡, 嫻, 蜒, 衍, 彥, 唁, 貽, 胰, 頤, 彝, 裔, 詣, 弈, 懿, 勚, 痍, 簃",56,,,,,,
642,ɦy,,陰去35,"餧, 嫗",2,,,,,,
1,n̍,,陰平53,嗯,1,,,,,,
3,i,,陰平53,"瞖, 伊, 醫, 衣, 依, 淹, 閹, 腌, 蔫, 焉, 煙, 嚥, 胭, 嫣, 漪, 銥, 猗, 匽",18,,,,,,
5,u,,陰平53,"阿, 倭, 窩, 五, 伍, 烏, 汚, 塢, 誣, 萵, 捂, 嗚, 鎢, 鄔, 焐, 唩",16,,,,,,
7,a,,陰平53,"阿, 挨",2,,,,,,
9,ia,,陰平53,"霞, 鴉, 丫, 亞, 椰",5,,,,,,
11,ua,,陰平53,"蛙, 窪, 歪, 娃, 媧",5,,,,iŋ,陰平53,
12,o,,陰平53,"阿, 鴉, 丫, 椏, 划, 蛙, 搲, 挜",8,,,,iŋ,陰去35,
14,ɔ,,陰平53,"懊, 坳, 凹",3,,,,piŋ,陰去35,
16,iɔ,,陰平53,"妖, 邀, 腰, 要, 么, 吆, 夭",7,,,,pʰiŋ,陰去35,"品, 聘, 牝"
